course_name,instructor,old_price,new_price,number_of_students,rating,sections,lectures,duration,category,tags,what_you_learn
Tuyệt chiêu chinh phục mẹ chồng,Phùng Thị Thùy Dung,600.000,349.000,81,4.5,5 phần,29 bài giảng,02 giờ 19 phút,hôn nhân và gia đình,"Tình yêu, Hạnh phúc gia đình, Hôn nhân gia đình","Hiểu được tầm quan trọng của gia đình. Hiểu được ngôn ngữ tình yêu của mẹ chồng. Biết nguyên nhân và cách giải quyết các vấn đề xảy ra trong mối quan hệ giữa mẹ chồng - con dâu. Hiểu được cách gieo hạt giống tình yêu với mẹ chồng/ nàng dâu để xây dựng mối quan hệ tốt đẹp.. Giữ được hạnh phúc gia đình, cải thiện các mối quan hệ trong gia đình.. Xây dựng được một cuộc sống gia đình hạnh phúc viên mãn"
Tuyệt chiêu giữ lửa hạnh phúc gia đình,Phùng Thị Thùy Dung,700.000,549.000,3481,4.5,4 phần,27 bài giảng,01 giờ 57 phút,hôn nhân và gia đình,"Tình yêu, Hạnh phúc gia đình, Đời sống vợ chồng",Nắm được thực trạng hạnh phúc gia đình hiện nay. Nhận biết được các vấn đề trong gia đình hiện đại ngày nay đang gặp phải. Hiểu được nguyên nhân và cách giải quyết các vấn đề xảy ra trong gia đình. Hiểu và nắm được 5 loại ngôn ngữ yêu thương để vận dụng hiệu quả vào cuộc sống. Nắm được bí quyết giữ được hạnh phúc và cải thiện các mối quan hệ trong gia đình. Xây dựng được một cuộc sống hạnh phúc viên mãn
Tính toán và ảo tính Soroban cho bé 3 đến 8 tuổi,Nguyễn Văn Thiết,600.000,399.000,258,4.4,2 phần,28 bài giảng,02 giờ 59 phút,hôn nhân và gia đình,Phương pháp dạy con,"Hiểu công dụng của tính toán Soroban. Phụ huynh biết cách  tính toán bằng Soroban. Giúp bé cộng cơ bản: một con số, 2 con số và nhiều con số một cách chính xác và thuần thục. Nâng cao khả năng tập trung cho bé, rèn luyện trí nhớ. Giúp bé phát triển cân bằng cả 2 bán cầu não, giúp bé có lối tư duy toàn diện sau này. Nâng cao khả năng tính toán, sự tỉ mỉ, chính xác"
Phép nhân và phép chia Soroban cho bé 3 đến 8 tuổi,Nguyễn Văn Thiết,600.000,449.000,151,4.7,3 phần,24 bài giảng,03 giờ 13 phút,hôn nhân và gia đình,Nuôi dạy con,"Phụ huynh biết cách nhân chia trên bàn tính Soroban. Hướng dẫn bé làm các phép nhân chia một cách chính xác, thuần thục. Bé tăng sự tập trung trí óc, tăng khả năng ghi nhớ. Phát triển toàn diện cả 2 bán cầu não trái, não phải, nâng cao khả năng tính toán"
Biếng ăn là dĩ vãng - 10 Bí quyết giúp trẻ hết biếng ăn,Nguyễn Hà,900.000,299.000,67,5.0,3 phần,19 bài giảng,01 giờ 33 phút,hôn nhân và gia đình,"Đồng hành cùng con, Dinh dưỡng cho con","Con không còn biếng ăn nữa. Mẹ không bị căng thẳng, stress về vấn đề ăn uống của con. Con không những hết biếng ăn mà còn yêu việc ăn uống. Phát triển tốt được chiều cao, cân nặng, trí não trong quá trình ăn dặm. Nuôi con nhàn tênh nhờ những kiến thức giúp trẻ không còn biếng ăn. Xây dụng những thói quen ăn uống tốt cho con"
Ăn dặm thật là vui,Nguyễn Hà,800.000,299.000,31,4.9,4 phần,21 bài giảng,01 giờ 38 phút,hôn nhân và gia đình,"Ăn dặm, Dinh dưỡng cho con","Trở thành chuyên gia dinh dưỡng của con và cả gia đình. Tự tin với việc cho con ăn dặm mà không vất vả. Giúp mẹ và con ăn dặm thật là vui, để con phát triển tốt về thể chất cũng như trí thông minh trong quá trình ăn dặm.. Phương pháp ""ăn dặm thật là vui"" giúp mỗi bữa ăn trở thành một trải nghiệm thú vị, hạnh phúc của cả mẹ lẫn con."
Chìa Khóa Hạnh Phúc Gia Đình,Kim Thành - Sứ Giả Tình Yêu,700.000,199.000,3565,4.8,9 phần,28 bài giảng,02 giờ 30 phút,hôn nhân và gia đình,"Tình yêu, Hạnh phúc gia đình, Đời sống vợ chồng, Hôn nhân gia đình",Nhận biết và xử lý 5 nguyên nhân phá hủy mối quan hệ vợ chồng. Nhận biết và xử lý 5 nguồn gốc gây đau khổ trong mối quan hệ. Khám phá 3 việc phải làm mỗi ngày để gia đình hạnh phúc bền vững. Sở hữu Bộ 3 quyền lực quyết định hạnh phúc gia đình. Thấu hiểu bản thân và người thân trong gia đình. Biết cách yêu bản thân và khiến người bạn đời yêu bạn theo cách bạn muốn. Biết cách quản lý tài chính và tăng trưởng kinh tế gia đình. Biết cách kiến tạo và tận hưởng 1 gia đình hạnh phúc bền vững
Dạy con theo phong cách người Nhật,Lê Văn Hữu Phú,600.000,399.000,105,4.8,5 phần,26 bài giảng,02 giờ 29 phút,hôn nhân và gia đình,Phương pháp dạy con,"Sửa chữa, thay thế những sai lầm bằng phương pháp nuôi dạy con đúng đắn.. Cho con tư duy, kiến thức nền tảng để mạnh mẽ bước vào đời.. Cho con được là chính mình.. Xây dựng con thành một đứa trẻ thành công, kiệt xuất.. Phụ huynh biết những kỹ thuật, công cụ để trao quyền cho con từ đó được thảnh thơi tâm trí.. Các bà mẹ có cái nhìn đúng đắn về vai trò của mình trong việc tạo ra hạnh phúc gia đình và cho chính mình từ đó giảm bớt gánh nặng, định kiến về thiên chức cao quý này."
2h để trở thành ông bố tuyệt vời!,Hà Thế Anh,800.000,399.000,149,5.0,3 phần,24 bài giảng,03 giờ 12 phút,hôn nhân và gia đình,"Hạnh phúc gia đình, Phương pháp dạy con","Giúp các ông bố nhận thức và sớm thay đổi tư duy tốt nhất để nuôi dạy con thành công. Bố hoàn toàn cảm thấy thoải mái trong việc nuôi dạy con. Bố biết cách ứng xử với con, chơi đùa cùng con. Nắm được công thức nuôi dạy con thành công dành riêng cho các ông bố. Những tuyệt chiêu để tình cảm bố con trở nên gần gũi, bền chặt. Xây dựng cho con một môt trường giáo dục để định hướng tính cách con. Con được thừa hưởng sự chăm sóc tuyệt vời từ bố và mẹ"
Cây gậy và củ cà rốt - Phương pháp khoa học độc quyền thuần phục hành vi bướng bỉnh của trẻ,Nguyễn Thị Thoa,600.000,349.000,104,4.8,3 phần,9 bài giảng,02 giờ 35 phút,hôn nhân và gia đình,Nuôi dạy con,"Bạn có thể hiểu được nguyên lý cấu trúc của phương pháp cây gậy và củ cà rốt trong chăm dạy trẻ. Hiểu nguyên nhân tâm lý tại sao trẻ bướng bỉnh. Bạn có khả năng nhận diện các hành vi bướng bỉnh, chống đối. Bạn nắm được quy trình thực hiện các phương pháp theo kỹ thuật cây gậy - carot. Bạn hiểu 04 kiểu cha mẹ và có khả năng phát hiện những phản ứng sai lầm của bản thân làm tăng cường hành vi. Bạn có thể sử dụng kỹ thuật thuần hóa trẻ bằng phương pháp cây gậy và củ carot. Bạn hình thành được thái độ điềm tĩnh, làm chủ được cảm xúc khi trẻ bướng bỉnh. Bạn tự tin hơn về cách nuôi dạy trẻ"
